# index, name, nodeLabel, _pos
102,SIM2,SIM2,"array([3.62747408, 7.09426113])"
103,ARNT,ARNT,"array([3.68376077, 7.12741546])"
104,SIM1,SIM1,"array([3.73154573, 7.0300404 ])"
105,NPAS4,NPAS4,"array([3.82315118, 7.05526627])"
106,HBEGF,HBEGF,"array([3.64020378, 7.06016453])"
107,ZBTB16,ZBTB16,"array([3.67840179, 7.17171081])"
108,PCNA,PCNA,"array([3.68722039, 7.20249762])"
109,GADD45A,GADD45A,"array([3.67481049, 7.1490986 ])"
110,TOPBP1,TOPBP1,"array([3.68249067, 7.20907419])"
111,TOP2B,TOP2B,"array([3.65088738, 7.1511603 ])"
112,FLNA,FLNA,"array([3.62113858, 7.18463247])"
113,DRD3,DRD3,"array([3.51971474, 7.08332804])"
114,LSM3,LSM3,"array([3.68536694, 7.27167899])"
115,SNRPE,SNRPE,"array([3.67355078, 7.22732352])"
116,LSM4,LSM4,"array([3.68735761, 7.24722193])"
117,LSM5,LSM5,"array([3.72949051, 7.23764121])"
118,EGR1,EGR1,"array([3.64852919, 7.11772594])"
119,CREBBP,CREBBP,"array([3.67152869, 7.15367524])"
120,NUMA1,NUMA1,"array([3.6683527 , 7.16048677])"
121,EPB41,EPB41,"array([3.57232492, 7.18497517])"
122,EXOSC4,EXOSC4,"array([3.69674254, 7.28734656])"
123,EEF1A1,EEF1A1,"array([3.64053259, 7.19981306])"
124,PLCG1,PLCG1,"array([3.58436119, 7.18057648])"
125,KTN1,KTN1,"array([3.57109315, 7.20655534])"
126,EEF1D,EEF1D,"array([3.62775586, 7.18729977])"
127,KDR,KDR,"array([3.55894189, 7.19247798])"
128,ANXA5,ANXA5,"array([3.60342401, 7.25534448])"
129,PPARGC1B,PPARGC1B,"array([3.73366711, 7.08627976])"
130,ESR1,ESR1,"array([3.65689721, 7.17597884])"
131,SMARCA4,SMARCA4,"array([3.68331887, 7.14762055])"
132,DDX54,DDX54,"array([3.57035317, 7.21239914])"
133,DNTTIP2,DNTTIP2,"array([3.65580071, 7.12882888])"
134,FGFR1,FGFR1,"array([3.58366836, 7.17148128])"
135,FDPS,FDPS,"array([3.69892616, 7.2960873 ])"
136,TGFB1,TGFB1,"array([3.55093958, 7.1659671 ])"
137,SUMO1,SUMO1,"array([3.66581929, 7.17654501])"
138,FAS,FAS,"array([3.5857066 , 7.19605157])"
139,FASLG,FASLG,"array([3.55342276, 7.13612906])"
140,MPP6,MPP6,"array([3.63595425, 7.12307943])"
141,FTL,FTL,"array([3.63897521, 7.1876426 ])"
142,FGA,FGA,"array([3.55850826, 7.24199061])"
143,ITGB1,ITGB1,"array([3.60517102, 7.20377029])"
144,FRS3,FRS3,"array([3.61593781, 7.02587481])"
145,GABRG2,GABRG2,"array([3.45320734, 7.07172107])"
146,GABARAP,GABARAP,"array([3.55014384, 7.16904223])"
147,SFN,SFN,"array([3.61861707, 7.17811671])"
148,NR3C1,NR3C1,"array([3.65518798, 7.15051698])"
149,TGFB1I1,TGFB1I1,"array([3.58211119, 7.13531329])"
150,ECD,ECD,"array([3.62149651, 7.13820546])"
151,GCK,GCK,"array([3.88936173, 7.12521506])"
152,PFKFB2,PFKFB2,"array([3.74736   , 7.14063107])"
153,HSPA5,HSPA5,"array([3.63084286, 7.22120064])"
154,DPH1,DPH1,"array([3.74314645, 7.26255901])"
155,SLC2A2,SLC2A2,"array([3.49483866, 7.20520169])"
156,KPNA2,KPNA2,"array([3.6467887 , 7.19377915])"
157,SLC2A4,SLC2A4,"array([3.65686863, 7.25781969])"
158,DAXX,DAXX,"array([3.66962455, 7.16667341])"
159,GRIK2,GRIK2,"array([3.54616992, 7.06545019])"
160,SDCBP,SDCBP,"array([3.58565043, 7.14102483])"
161,PICK1,PICK1,"array([3.58405526, 7.11179736])"
162,GRIK1,GRIK1,"array([3.55651426, 7.10402589])"
163,CCNT1,CCNT1,"array([3.68514852, 7.1489487 ])"
164,GRN,GRN,"array([3.70106397, 7.18106268])"
165,RGS19,RGS19,"array([3.58829856, 7.13015677])"
